,filename,image_red_std,image_red_mean,image_green_std,image_green_mean,image_blue_std,image_blue_mean,TP_cls_0,FP_cls_0,FN_cls_0,TN_cls_0,IoU_cls_0,accuracy_cls_0,count_cls_gt_0,count_cls_pred_0,TP_cls_1,FP_cls_1,FN_cls_1,TN_cls_1,IoU_cls_1,accuracy_cls_1,count_cls_gt_1,count_cls_pred_1,TP_cls_2,FP_cls_2,FN_cls_2,TN_cls_2,IoU_cls_2,accuracy_cls_2,count_cls_gt_2,count_cls_pred_2,TP_cls_3,FP_cls_3,FN_cls_3,TN_cls_3,IoU_cls_3,accuracy_cls_3,count_cls_gt_3,count_cls_pred_3
1425,X3-EEG1377.YUV.DAT.20221020.162845_MVR_101,24.033271884707386,43.76223958333333,24.428502446339877,43.76875,24.11271456041858,44.395833333333336,15416,1337,4451,245548,0.7270326353518204,0.978301943378119,19867,16753,47101,18308,16593,184750,0.5743884295504987,0.8691631178023033,63694,65409,120209,18356,31124,97063,0.7084077341489431,0.8145093570057581,151333,138565,27632,18393,4226,216501,0.5498796043859824,0.9152058841170825,31858,46025
1426,X3-EEG1377.YUV.DAT.20221020.162845_MVR_1,20.571066423589006,24.92109375,21.37632668783228,25.076041666666665,20.727010664418042,25.26197916666667,17985,8727,1882,238158,0.6289781072952367,0.9602289767274472,19867,26712,42944,30705,20750,172353,0.4549200733058613,0.8071054762476008,63694,73649,106891,22757,44433,92671,0.6140302502857865,0.7481181022072937,151324,129648,21109,15634,10758,219251,0.44439064440748616,0.901061660268714,31867,36743
1427,X3-EEG1377.YUV.DAT.20221020.162845_MVR_201,24.017973852222365,43.592447916666664,24.608793704554394,43.477604166666666,24.206867267208548,44.060156250000006,15172,1318,4695,245567,0.7161670993627567,0.9774584632917467,19867,16490,47359,18944,16366,184083,0.5728749591745395,0.8676298584452975,63725,66303,121773,18244,29529,97206,0.7182298609226995,0.8209085592610365,151302,140017,27540,16402,4318,218492,0.5706589307915458,0.9223248560460653,31858,43942
1428,X3-EEG1377.YUV.DAT.20221020.162845_MVR_251,24.02195938739776,43.754947916666666,24.52161843027486,43.61119791666666,24.254209926339247,44.104427083333334,15321,1369,4546,245516,0.72146355245809,0.9778258457293666,19867,16690,47571,19018,16154,184009,0.5749247670497807,0.8681471928982726,63725,66589,121678,17928,29624,97522,0.719009631861963,0.8217370441458733,151302,139606,27628,16239,4230,218655,0.5744225211551656,0.9232658049424184,31858,43867
1429,X3-EEG1377.YUV.DAT.20221020.162845_MVR_301,24.071305184595424,43.436458333333334,24.58077862205667,43.41067708333333,23.860492787203224,44.2421875,15416,1383,4451,245502,0.7254588235294117,0.9781294985604606,19867,16799,47439,18958,16286,184069,0.5737455099597257,0.8678772792706334,63725,66397,121256,18024,30046,97426,0.7161097527845695,0.8197951655470249,151302,139280,27632,16644,4226,218250,0.5697084656302833,0.9217625359884837,31858,44276
1430,X3-EEG1377.YUV.DAT.20221020.162845_MVR_351,23.920381851068623,43.395572916666666,24.461834842555756,43.573177083333334,24.19178954121826,44.33854166666667,15346,1408,4521,245477,0.7213160987074031,0.9777733625239923,19867,16754,47288,18988,16437,184039,0.5717118228089901,0.8671987464011516,63725,66276,120384,18170,30937,97261,0.7102678018301857,0.8159076595489443,151321,138554,27538,17630,4301,217283,0.5566718551011745,0.91778505878119,31839,45168
1431,X3-EEG1377.YUV.DAT.20221020.162845_MVR_401,23.942226107282135,43.37083333333334,24.36336193714036,43.42942708333333,24.27455792236779,44.18958333333333,14990,1493,4877,245392,0.7017790262172284,0.9761201415547025,19867,16483,47428,19715,16311,183298,0.5683130826563136,0.8649457173704415,63739,67143,120548,17980,30759,97465,0.712092481998027,0.8172872180902111,151307,138528,27612,16986,4227,217927,0.5655299539170507,0.9204766974568138,31839,44598
1432,X3-EEG1377.YUV.DAT.20221020.162845_MVR_451,23.764114449720765,42.9859375,24.244594407931427,42.987239583333334,23.774992281287084,43.5484375,14233,908,5634,245977,0.6851022864019254,0.9754753478886756,19867,15141,47255,18654,16484,184359,0.5735317320646172,0.8682746521113244,63739,65909,123523,18977,27784,96468,0.7253940475910832,0.8247023452495201,151307,142500,27344,15858,4495,219055,0.5732855315847957,0.9237006657869482,31839,43202
1433,X3-EEG1377.YUV.DAT.20221020.162845_MVR_501,21.870828967421932,40.583333333333336,22.30356934344589,40.61302083333333,21.827906883640914,41.28828125,14773,1050,5094,245835,0.7062676292011283,0.9769673704414588,19867,15823,46652,21911,17087,181102,0.544681844716871,0.8538042826295585,63739,68563,122481,20794,28826,94651,0.7116809315460108,0.8139845249520153,151307,143275,26084,13007,5755,221906,0.5816349284217098,0.9296650071976967,31839,39091
1434,X3-EEG1377.YUV.DAT.20221020.162845_MVR_51,23.899486707551695,43.65546875,24.358944463747033,43.63463541666667,24.00265453069424,44.157031249999996,14927,1307,4940,245578,0.7049683574194767,0.9765812440019194,19867,16234,46806,18414,16888,184644,0.5700540751205729,0.8676598488483686,63694,65220,121648,18651,29676,96777,0.7156817178996911,0.8188317238483686,151324,140299,27534,17465,4333,217420,0.5581367063974702,0.9182836492322457,31867,44999
