,blue_mean,blue_std,green_mean,green_std,red_mean,red_std,grayscale_mean,grayscale_std,filename
648,90.78794854856005,39.71424672678903,93.04462124693627,36.751321014640816,89.73986720664828,36.49456559264685,91.80521982230393,36.88052930401716,X3-EEG1377.YUV.DAT.20221020.160427_RV_211
649,90.97141639859069,39.91919904092567,93.19001847809436,36.95113600311882,89.88475413602941,36.68017656362565,91.95465973498774,37.078461018215826,X3-EEG1377.YUV.DAT.20221020.160427_RV_221
650,91.08656795726102,40.30872812521082,93.32977797564338,37.309360064478696,89.88550331265319,36.991276359782375,92.05114793964461,37.426555233599615,X3-EEG1377.YUV.DAT.20221020.160427_RV_231
651,91.0250062231924,40.571812738148985,93.3277587890625,37.56409968261641,89.89541973039216,37.19954091020207,92.04610140931372,37.669893366183686,X3-EEG1377.YUV.DAT.20221020.160427_RV_241
652,91.07296310125612,40.481466529093204,93.22946298636643,37.42487944289906,89.73656173406863,36.99422245644853,91.9451047411152,37.5136650608082,X3-EEG1377.YUV.DAT.20221020.160427_RV_251
653,91.07358446308211,40.491234862118695,93.08275074678309,37.339206435466046,89.62882199754903,36.89464920289127,91.82610294117647,37.43223972094508,X3-EEG1377.YUV.DAT.20221020.160427_RV_261
654,90.96499980851716,40.41594781815692,93.02354329427084,37.24843499275599,89.4608034620098,36.72431545670787,91.72905656403186,37.31613567659428,X3-EEG1377.YUV.DAT.20221020.160427_RV_271
655,90.83110399433211,40.4042048874017,92.92247577742035,37.20550690317759,89.3579771752451,36.679360837184475,91.62325702742034,37.274749311790764,X3-EEG1377.YUV.DAT.20221020.160427_RV_281
656,90.71930386412377,40.352565176230094,92.82887944240196,37.126561442729944,89.26025677849265,36.591960349517386,91.5257381663603,37.195686147636934,X3-EEG1377.YUV.DAT.20221020.160427_RV_291
657,90.75040594362746,40.24519305869896,92.70584932215074,36.97326836788463,89.0549067478554,36.34640773227427,91.39602242264093,37.015156144011804,X3-EEG1377.YUV.DAT.20221020.160427_RV_301
658,88.73337258731618,29.8012210623345,91.98193311504289,28.33724806199039,88.47335037530637,28.88354898508111,90.56178529028799,28.332024208566974,X3-EEG1377.YUV.DAT.20221020.160427_RV_31
659,90.77230870863971,40.05528785108797,92.73868432138481,36.80066493616928,89.07945676317402,36.18572715835218,91.42459788602942,36.84272989273079,X3-EEG1377.YUV.DAT.20221020.160427_RV_311
660,90.66432195925245,39.81403973609103,92.64218271292893,36.56403861487545,89.00371811810662,35.94676208112477,91.33323807061888,36.602210221028685,X3-EEG1377.YUV.DAT.20221020.160427_RV_321
661,90.65999492570465,39.65423469396036,92.63257601868872,36.40618181685945,88.99267673866422,35.81142006732292,91.3229248046875,36.44885679233151,X3-EEG1377.YUV.DAT.20221020.160427_RV_331
662,90.81329465379902,39.527308696762056,92.7893487668505,36.30374662336146,89.13935786228554,35.69119399989239,91.47630974264706,36.33726505784642,X3-EEG1377.YUV.DAT.20221020.160427_RV_341
663,90.85301824831495,39.36253981880071,92.81883042279412,36.175472348424314,89.18040891161152,35.56767082674287,91.51022853477329,36.2039588562055,X3-EEG1377.YUV.DAT.20221020.160427_RV_351
664,90.94433258655025,39.2148405610464,92.89710430070465,36.05538503764166,89.25706523820466,35.47549205620479,91.58935403262868,36.08778217258217,X3-EEG1377.YUV.DAT.20221020.160427_RV_361
665,90.99368920419731,39.243608697233896,92.95752862668505,36.08989625707212,89.31438466988358,35.47178997738064,91.64774911917893,36.110267221055054,X3-EEG1377.YUV.DAT.20221020.160427_RV_371
666,91.01322907092525,39.103739762775824,92.96693378523284,35.94459212357475,89.34339719286152,35.338145992618216,91.66402994791666,35.96722931457031,X3-EEG1377.YUV.DAT.20221020.160427_RV_381
667,90.96863941865809,39.0964251123177,92.90830461090687,35.958327996324364,89.28246591605392,35.35988643524051,91.60643047257966,35.98093286938087,X3-EEG1377.YUV.DAT.20221020.160427_RV_391
668,91.06280254289216,39.08630730529274,92.99721919041053,35.95490143660116,89.36305482153799,35.36531876663745,91.69285433900123,35.97854916227399,X3-EEG1377.YUV.DAT.20221020.160427_RV_401
669,88.6519526462929,30.294698582478418,91.93965130974264,28.698559347823718,88.3096804151348,29.183541217236417,90.48026960784314,28.698236425429318,X3-EEG1377.YUV.DAT.20221020.160427_RV_41
670,91.0636780981924,39.089872795168304,93.01427217371324,35.94470424792321,89.37620921415441,35.340755130839334,91.70709491804534,35.96749394394914,X3-EEG1377.YUV.DAT.20221020.160427_RV_411
671,90.97187117034314,39.09063853148681,92.9235777611826,35.931545558033484,89.29284093520221,35.36575466836338,91.61907264859069,35.96622613079535,X3-EEG1377.YUV.DAT.20221020.160427_RV_421
672,91.01974618949143,39.11492718838187,92.9636900658701,35.955506304498634,89.33939424402574,35.37295085054575,91.66170486749387,35.98584826359562,X3-EEG1377.YUV.DAT.20221020.160427_RV_431
673,90.99754854090074,39.07133362510388,92.94456380208334,35.91961263050654,89.32251359528186,35.34670038349786,91.64309560738357,35.95120045448223,X3-EEG1377.YUV.DAT.20221020.160427_RV_441
674,90.92589805453431,39.053033458073365,92.88936743642769,35.904844490161416,89.26982948452819,35.315913142797505,91.58635732613358,35.93173875068383,X3-EEG1377.YUV.DAT.20221020.160427_RV_451
675,90.9547976026348,39.16022247553106,92.93346019071691,35.99197008376865,89.29789225260417,35.399480098661826,91.62324170879289,36.01985698828063,X3-EEG1377.YUV.DAT.20221020.160427_RV_461
676,90.86925695082721,39.01509598758693,92.83114755667893,35.87235331923586,89.21839049096201,35.28239371352185,91.53021695006127,35.89916657456797,X3-EEG1377.YUV.DAT.20221020.160427_RV_471
677,90.93168035768996,38.98636961649554,92.87597512637868,35.8627213540654,89.26794481464461,35.28707264545207,91.57832797181372,35.89147327304774,X3-EEG1377.YUV.DAT.20221020.160427_RV_481
678,90.96061868106618,38.893856750370745,92.88871639476103,35.78575345651438,89.4061217064951,35.254561866380485,91.62989382276348,35.82521846147046,X3-EEG1377.YUV.DAT.20221020.160427_RV_491
679,90.92535950903799,38.81355577067547,92.86967534083946,35.72337794198464,89.22444613587622,35.163998020425836,91.56143822763481,35.7503798887239,X3-EEG1377.YUV.DAT.20221020.160427_RV_501
680,89.03433000153186,30.867120458026974,92.07779277726716,29.10086037773786,88.44126790364584,29.53679248893496,90.6453675513174,29.1149007525062,X3-EEG1377.YUV.DAT.20221020.160427_RV_51
